Master SKU,Name ,Image,Color,Varieties,Volume,Total,ASP
20-S1,Pop of Color Bouquet,,"Pink
Orange
Peach
Peach
Green
Peach","Carnations
Roses
Stock
Spray Roses
Fuji Mums
Hypericum",,,
20-S2,Full of Joy Bouquet,,"Pink
Purple
Purple
Pink","Roses
Stock
Alstroemeria
Lilies",65825,5027895,76.38
20-S3,Cherry Blossom Bouquet,,"Pink
Green
Pink
Hot pink","Stock
Button Pompons
Carnations
Roses",24463,1949004,79.67
20-S4,Bees Knees Bouquet,,"White
Yellow
Yellow
White","Alstroemeria 
Spray Roses
Roses
Hydrangea",,,
20-S5,Lavender Bliss Bouquet,,"Lavender
Ivory
Green
Green","Alstroemeria 
Roses
Trick Dianthus
Mini Hydrangea",,,
20-S6,Sweet as Lemonade Bouquet,,"Ivory
Yellow
Yellow
Yellow","Roses
Sunflowers
Carnations
Button Pompons",20751,1656243,79.82
20-S7,Violet Delight Bouquet,,"Pale pink
Purple
Lavender
White","Stock
Stock
Alstroemeria
Hydrangea",,,
20-S8,Simply Gorgeous Bouquet,,"Pink 
Ivory
Pink
Peach
White","Spray Roses
Roses
Alstroemeria
Hypericum
Hydrangea ",30677,2861131,93.27
20-S8M,Pure Beauty Mixed Roses,,"Pink
Hot Pink
Lavender","Roses
Roses
Roses ",,,
B05,Sunny Sentiments Bouquet,,"Yellow
Yellow
Green
White","Roses
Alstroemeria
Button Poms
Daisy Pompons",21928,1605854,73.23
BDB,Best Day Bouquet,,"Green
Hot Pink
Yellow
Orange
Purple
Yellow
","Button Pompon stems
Roses
Sunflowers
Lily 
Double Lisianthus 
Snapdragon ",,,
B35,Sweet & Pretty Bouquet,,"Hot pink
Pink
White
Green
Hot pink","Roses
Alstroemeria
Carnations
Button Pompons
Mini Carnations",16121,1213021,75.24
