Unnamed: 0,Unnamed: 1,Unnamed: 2
"VDAY: January 23 - February 14, 2024 ",,
,Alstroemeria stems,0.89
,Asiatic Lily stems,1.72
,Bupleurum stems,0.9
,Button Pompon stems,0.72
,Craspedia stems,0.86
,Cushion Pompon stems,0.72
,Daisy Pompon stems,0.72
,"Delphinium, Belladonna stems",1.22
,"Delphinium, hybrid stems",1.51
,Double Lisianthus stems,1.44
,Disbud stems,0.96
,Gerbera Daisies,1.42
Blue,Blue Hydrangea blooms,2.54
Green,Mini Hydrangea blooms,1.88
White,White Hydrangea blooms,2.4
,Hypericum Berry stems,0.94
,Iris stems,1.13
,LA Hybrid Lily stems,1.72
,Liatris stems,0.93
,Limonium stems,1.16
,Matsumoto Aster stems,0.9
,Mini Calla Lilies,1.61
,Mini Carnation stems,0.62
,Monte Casino Aster stems,0.76
,Pink Oriental Lily stems,2.44
,White Oriental Lily stems,2.37
White,Queen Anne's Lace,1.42
,Ranunculus stems,2.0
,Assorted 50 cm Roses,1.14
,Orange 50 cm Roses,1.21
,Yellow 50 cm Roses,1.21
,Peach 50 cm Roses,1.37
,Pink 50 cm Roses,1.37
,Lavender 50 cm Roses,1.37
,White 50 cm Roses,1.37
,Red 50 cm Roses,1.6
,Snapdragon stems,1.06
,Solidago stems,0.73
,Spider Mums,0.96
,Spray Rose stems,1.29
,Standard Carnations,0.62
,Statice stems,0.76
,Stock stems,0.96
,Sweet William Dianthus,0.92
,Sunflowers,1.36
,Thistle Eryngium stems,0.94
Green,Trick Dianthus stems,1.06
,Veronica stems,1.06
,Waxflower stems,1.4
,Red 60 cm Roses,2.05
,Baby Blue Eucalyptus stems,1.0
,Dusty Miller Stems,1.08
,Gunni Eucalyptus stems,1.22
,Silver dollar Eucalyptus stems,2.45
,Green Pittosporum stems,0.73
,Israeli Ruscus stems,0.39
,Italian Variegated Pittosporum stems,1.36
,Salal tips,0.26
,Seeded Eucalyptus stems,2.45
,Variegated Pittosporum stems,0.77
,Leatherleaf stems,0.19
