Input,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
,Name of Arrangement,,The FTD Bouquet,,The FTD Bouquet,,The FTD Bouquet,,The FTD Bouquet
,Size of Arrangement,,Standard,,Deluxe,,Premium,,Exquisite
,SRP,,100,,135,,190,,280
,Total SRP of Bundle,,100,,135,,190,,280
,,,,,,,,,
,,,,,,,,,
,Member Profitability,,,,,,,,
,SRP,,100,,135,,190,,280
,Less Commission (20%),,-20,,-27,,-38,,-56
,Less C/H Fee (9%),,-9,,-12.15,,-17.099999999999998,,-25.2
,Less UCP Fee,,-4.99,,-4.99,,-4.99,,-4.99
,Less Transmission Fee,,-2.75,,-2.75,,-2.75,,-2.75
,Less Delivery Fee,,-10,,-10,,-10,,-10
,Less Labor (10%),,,,,,,,
,Less Other,,-3,,-3,,-3,,-3
,Less Hardgood,,-6.9,,-6.9,,-10.82,,-10.82
,Less Floral Cost,,-20.500000000000004,,-30.1,,-39.7,,-58.9
,Total Gross Margin,,22.860000000000003,,38.10999999999999,,63.64,,108.34
,Gross Margin %,,0.22860000000000003,,0.2822962962962962,,0.33494736842105266,,0.38692857142857146
,,,**GM should not be below 20%,,,,,,
,,,,,,,,,
Color,Floral Costs,Qty,,Qty,,Qty,,Qty,
Red,Red 50 cm Roses,12,19.200000000000003,18,28.8,24,38.400000000000006,36,57.6
,Salal tips,5,1.3,5,1.3,5,1.3,5,1.3
,,,0,,0,,0,,0
,,,0,,0,,0,,0
,,,0,,0,,0,,0
,,,0,,0,,0,,0
,,,0,,0,,0,,0
,,,0,,0,,0,,0
,,,0,,0,,0,,0
,,,0,,0,,0,,0
,,,0,,0,,0,,0
,,,0,,0,,0,,0
,,,20.500000000000004,,30.1,,39.7,,58.9
,,,,,,,,,
,Hardgood Costs,Qty,,Qty,,Qty,,Qty,
,2120GS - Small Gold-Dipped Vase,1,6.9,1,6.9,,0,,0
,2120GL - Large Gold-Dipped Vase,,0,,0,1,10.82,1,10.82
,,,0,,0,,0,,0
,,,0,,0,,0,,0
,,,0,,0,,0,,0
,,,0,,0,,0,,0
,,,6.9,,6.9,,10.82,,10.82
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,"please update to Vday 23 pricing and note, the srp might change and will be to market value ",,,,,,
