Flower,Color,23-L1,23-V1,23-V1M,23-V1R,23-V2,23-V3,23-V4,L5481,L5482,L5483,L5484,S5485,V5477
 50 cm Roses,hot pink,14,0,30,0,0,0,0,26,17,0,0,0,0
 Alstroemeria stems,hot pink,13,0,0,0,0,0,0,0,0,0,0,0,0
 Gerbera Daisies,hot pink,0,0,0,0,0,0,0,0,0,0,0,10,0
 Mini Carnation stems,hot pink,0,0,0,0,0,0,0,0,16,0,0,0,0
 Standard Carnations,hot pink,8,0,0,0,0,0,0,16,0,0,0,0,0
 Standard Carnations,lavender,0,0,0,0,0,0,11,11,0,0,0,0,0
 Stock stems,lavender,0,0,0,0,0,0,10,0,0,0,0,10,0
 50 cm Roses,orange,0,0,30,0,0,0,0,0,0,0,0,0,0
 Button Pompon stems,pink,12,0,0,0,0,0,0,0,0,0,0,0,0
 Mini Carnation stems,pink,0,0,0,0,0,0,0,0,12,0,0,0,0
 Standard Carnations,pink,0,0,0,0,11,0,0,0,16,0,0,11,0
 50 cm Roses,pink,11,0,0,0,0,0,0,0,0,0,0,0,0
 LA Hybrid Lily stems,pink,0,0,0,0,9,7,0,0,7,0,0,0,0
 Snapdragon stems,pink,13,0,0,0,0,0,0,0,0,0,0,0,0
 Standard Carnations,pink,0,0,0,0,0,0,0,10,0,0,0,0,0
 Stock stems,pink,0,0,0,0,0,0,0,0,13,0,0,0,0
 Alstroemeria stems,purple,0,0,0,0,13,0,0,0,0,0,0,0,0
 Desna Mums,purple,0,0,0,0,0,0,10,0,0,0,0,0,0
 Mini Carnation stems,purple,0,0,0,0,0,0,11,0,0,0,0,0,0
 Scabiosa stems,purple,0,11,0,0,0,0,0,0,0,0,0,0,0
 Snapdragon stems,purple,0,10,0,0,0,0,0,0,0,0,0,0,0
 50 cm Roses,red,0,19,30,90,19,22,24,0,0,16,0,24,23
 Alstroemeria stems,red,0,0,0,0,0,0,0,0,0,0,11,0,13
 Gerbera Daisies,red,0,0,0,0,0,0,0,0,0,6,0,0,0
 LA Hybrid Lily stems,red,0,7,0,0,0,0,0,0,0,9,9,0,0
 Matsumoto Aster stems,red,0,0,0,0,8,0,0,0,0,0,0,0,0
 Mini Carnation stems,red,0,0,0,0,8,12,0,0,0,0,0,11,14
 Standard Carnations,red,0,0,0,0,0,0,0,0,0,0,10,0,15
 Sweet William Dianthus,red,0,10,0,0,0,0,0,0,0,0,0,0,0
 50 cm Roses,white,0,0,0,0,0,0,0,0,0,0,15,0,0
 Cushion Pompon stems,white,0,0,0,0,0,0,0,0,0,0,12,0,0
 Snapdragon stems,white,0,0,0,0,0,0,0,0,0,0,13,0,0
 Stock stems,white,0,8,0,0,0,13,0,0,0,0,0,0,0
