Flower,23-V1s,23-V1d,23-V1p,23-V1e,23-V2s,23-V2d,23-V2p,23-V2e,23-V3s,23-V3d,23-V3p,23-V3e,23-V4s,23-V4d,23-V4p,23-V4e,V5477s,V5477d,V5477p,V5477e,S5485s,S5485d,S5485p,S5485e,23-V1Ms,23-V1Md,23-V1Mp,23-V1Me,23-V1Rs,23-V1Rd,23-V1Rp,23-V1Re,L5483s,L5483d,L5483p,23-L1s,23-L1d,23-L1p,23-L1e,L5481s,L5481d,L5481p,L5481e,L5482s,L5482d,L5482p,L5482e,L5484s,L5484d,L5484p,L5484e
Red 50 cm Roses,2.0,3.0,4.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple Scabiosa stems,2.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple Snapdragon stems,2.0,2.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red Sweet William Dianthus,2.0,2.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White Stock stems,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red LA Hybrid Lily stems,1.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red 50 cm Roses,,,,,2.0,3.0,4.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple Alstroemeria stems,,,,,2.0,3.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pale Pink Standard Carnations,,,,,2.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red Matsumoto Aster stems,,,,,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
