J-6022,The FTD® Regal Jewel Bouquet - Florist Original,Unnamed: 2,Standard,Unnamed: 4,Deluxe,Unnamed: 6,Premium,Unnamed: 8,Exquisite,Unnamed: 10
,,ea.,J-6022s,,J-6022d,,J-6022p,,J-6022e,
,retail (w/o delivery),,,60,,75,,95,,125
,FTD.com Retail,,,70,,85,,105,,135
Lavender,50 cm Roses,1.18,2,2.36,3,3.54,0,0,8,9.44
Purple,Stock stems,0.88,2,0,4,0,0,0,6,5.28
Pink,Standard Carnations,0.61,2,0,3,0,4,0,4,0
Hot Pink,Alstroemeria stems,0.86,2,1.72,3,2.58,0,0,0,0
Hot Pink,50 cm Roses,1.18,0,0,0,0,5,5.8999999999999995,5,5.8999999999999995
Hot Pink,Stock stems,0.88,0,0,0,0,5,4.4,0,0
Purple,Daisy Pompon stems,0.7,0,0,0,0,4,2.8,0,0
Pink,Hydrangea blooms,2.14,0,0,0,0,2,4.28,0,0
Purple,Alstroemeria stems,0.86,0,0,0,0,0,0,5,4.3
Pink,LA Hybrid Lily stems,1.67,0,0,0,0,0,0,2,3.34
2120S,Small Cinched Vase,5.12,1,5.12,1,5.12,0,0,0,0
2120L,Large Cinched Vase,5.94,0,0,0,0,1,5.94,1,5.94
,TOTAL,,,9.2,,11.24,,23.320000000000004,,34.199999999999996
,retail     (w/o delivery),,,60,,75,,95,,125
,executing value         (retail * .71),0.71,,42.599999999999994,,53.25,,67.45,,88.75
,COGS     (EV * .50),0.5,,21.299999999999997,,26.625,,33.725,,44.375
,Gross Margin     (EV * .50),0.5,,21.299999999999997,,26.625,,33.725,,44.375
,ACTUAL GROSS MARGIN    (EV-TOTAL),,,33.39999999999999,,42.01,,44.129999999999995,,54.550000000000004
,Labor Cost    (retail x -10%),-0.1,,-6,,-7.5,,-9.5,,-12.5
,FTO,-2.75,,-2.75,,-2.75,,-2.75,,-2.75
,UCP Fee,-4.99,,-4.99,,-4.99,,-4.99,,-4.99
,Other Fees,-3,,-3,,-3,,-3,,-3
,TOTAL  (bottom line that florist makes),,,16.65999999999999,,23.769999999999996,,23.889999999999993,,31.310000000000002
,Net Margin    (TOTAL abv/RETAIL),,,0.2776666666666665,,0.3169333333333333,,0.25147368421052624,,0.25048000000000004
,,,,,,,,,,
,Actual COGS Percentage of Retail w/o delivery,,,0.15333333333333332,,0.14986666666666668,,0.24547368421052634,,0.27359999999999995
,,,,,,,,,,
,,,inches,cm,inches,cm,inches,cm,inches,cm
,,H,,0,,0,,0,,0
,,W,,0,,0,,0,,0
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
