V5441,Cupid's Crush Bouquet,Unnamed: 2,Good,Unnamed: 4,Better,Unnamed: 6,Best,Unnamed: 8,Exquisite,Unnamed: 10
,,ea.,V5441s,,V5441d,,V5441p,,V5441e,
FTD,retail (w/o delivery),,,55,,67,,85,,115
,FTD.com Retail,,,65,,77,,95,,125
Hot Pink,Stock stems,1.19,3,3.57,4,4.76,5,5.949999999999999,5,5.949999999999999
Red,Alstroemeria stems,0.76,3,2.2800000000000002,3,2.2800000000000002,4,3.04,4,3.04
Pink,50 cm Roses,1.18,2,2.36,3,3.54,4,4.72,10,11.799999999999999
Red,Mini Carnation stems,0.56,2,1.12,3,1.6800000000000002,4,2.24,4,2.24
Red,Standard Carnations,0.57,2,1.14,3,1.71,4,2.28,4,2.28
,Salal tips,0.25,3,0.75,3,0.75,3,0.75,3,0.75
,,,,0,,0,,0,,0
,,,,0,,0,,0,,0
,,,,0,,0,,0,,0
,,,,0,,0,,0,,0
,,,,0,,0,,0,,0
G3833,Red Glass Vase,4,1,4,1,4,1,4,1,4
,TOTAL,,,15.219999999999999,,18.72,,22.979999999999997,,30.060000000000002
,retail     (w/o delivery),,,55,,67,,85,,115
,executing value         (retail * .73),0.73,,40.15,,48.91,,62.05,,83.95
,COGS     (EV * .50),0.5,,20.075,,24.455,,31.025,,41.975
,Gross Margin     (EV * .50),0.5,,20.075,,24.455,,31.025,,41.975
,ACTUAL GROSS MARGIN    (EV-TOTAL),,,24.93,,30.189999999999998,,39.07,,53.89
,Labor Cost    (retail x -10%),-0.1,,-5.5,,-6.7,,-8.5,,-11.5
,FTO,-2.75,,-2.75,,-2.75,,-2.75,,-2.75
,UCP Fee,-4.99,,-4.99,,-4.99,,-4.99,,-4.99
,Other Fees,-3,,-3,,-3,,-3,,-3
,TOTAL  (bottom line that florist makes),,,8.69,,12.749999999999998,,19.83,,31.65
,Net Margin    (TOTAL abv/RETAIL),,,0.158,,0.19029850746268653,,0.2332941176470588,,0.2752173913043478
,,,,,,,,,,
,Actual COGS Percentage of Retail w/o delivery,,,0.2767272727272727,,0.27940298507462685,,0.2703529411764706,,0.2613913043478261
,,,,,,,,,,
,,,inches,cm,inches,cm,inches,cm,inches,cm
,,H,14,35.56,16,40.64,19,48.26,20,50.8
,,W,15,38.1,15,38.1,17,43.18,18,45.72
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,0.4,,0.4,,0.2,,0.2
,,,,,,,,,,
VAL PRICING - 2022,,,,,,,,,,
,,NEW 2022,,NEW 2021,,,,,,
,Alstroemeria stems,0.76,0.030000000000000027,0.73,,,,,,
,Asiatic Lily stems,1.51,0.10000000000000009,1.41,,,,,,
,Bells of Ireland,0.85,,,,,,,,
,Button Pompon stems,0.61,0.040000000000000036,0.57,,,,,,
,Craspedia,0.85,,,,,,,,
,Cushion Pompon stems,0.61,0.040000000000000036,0.57,,,,,,
,Daisy Pompon stems,0.61,0.040000000000000036,0.57,,,,,,
,Dendrobium belladona Stems,1.1,,,,,,,,
,Dendrobium hybrid Stems,1.37,,,,,,,,
,Dendrobium Orchid Stems,2.41,0.14000000000000012,2.27,,,,,,
,Double Lisianthus stems,1.36,0.15000000000000013,1.21,,,,,,
,Disbud Mums,0.9,0.9,,,,,,,
,Gerbera Daisies,1.29,0.050000000000000044,1.24,,,,,,
Blue,Hydrangea blooms,2,0.020000000000000018,1.98,,,,,,
Green,Mini Hydrangea blooms,1.57,,1.46,,,,,,
Pink,Hydrangea blooms,6.02,0.8399999999999999,5.18,,,,,,
Purple,Hydrangea blooms,6.49,0.54,5.95,,,,,,
White,Hydrangea blooms,1.98,0.08000000000000007,1.9,,,,,,
,Hypericum Berry stems,0.91,0.030000000000000027,0.88,,,,,,
,Iris stems,0.92,0.040000000000000036,0.88,,,,,,
,LA Hybrid Lily stems,1.51,0.10000000000000009,1.41,,,,,,
,Liatris ,0.91,,,,,,,,
,Larkspur stems,1.62,0.3500000000000001,1.27,,,,,,
,Limonium Blue stream,1.1,1.1,,,,,,,
,Limonium Misty Blue,,,,,,,,,
,Matsumoto Aster stems,0.79,0.06000000000000005,0.73,,,,,,
,Mini Calla Lilies,2.42,0.020000000000000018,2.4,,,,,,
,Mini Carnation stems,0.56,0.020000000000000018,0.54,,,,,,
,Mokara Orchid Stems,2.64,0.22999999999999998,2.41,,,,,,
,Monte Casino stems,0.67,0.07000000000000006,0.6,,,,,,
Pink,Oriental Lily stems,2.13,0.15999999999999992,1.97,,,,,,
White,Oriental Lily stems,2.13,0.24,1.89,,,,,,
White,Queen Anne's Lace,,,,,,,,,
,Ranunculus,1.9,,,,,,,,
,50 cm Roses (Asstd),1.4,0.5199999999999999,0.88,,,,,,
Orange,50 cm Roses,1.07,0.030000000000000027,1.04,,,,,,
Yellow,50 cm Roses,1.09,0.050000000000000044,1.04,,,,,,
Peach,50 cm Roses,1.18,0.040000000000000036,1.14,,,,,,
Pink,50 cm Roses,1.18,0.040000000000000036,1.14,,,,,,
Lavender,50 cm Roses,1.18,0.040000000000000036,1.14,,,,,,
White,50 cm Roses,1.18,0.040000000000000036,1.14,,,,,,
Red,50 cm Roses,1.54,0.040000000000000036,1.5,,,,,,
,Snapdragon stems,1.49,0.20999999999999996,1.28,,,,,,
,Solidago stems,0.64,0.07000000000000006,0.57,,,,,,
,Spider Mums,0.9,0.25,0.65,,,,,,
,Spray Rose stems,1.12,0.1200000000000001,1,,,,,,
,Standard Carnations,0.57,0.019999999999999907,0.55,,,,,,
,Starfighter Lily stems,2.13,0.15999999999999992,1.97,,,,,,
,Stargazer Lily stems,,-2.99,2.99,,,,,,
,Statice stems,0.69,0.05999999999999994,0.63,,,,,,
,"Statice, seafoam stems",,,,,,,,,
,Stock stems,1.19,0.1399999999999999,1.05,,,,,,
,Sunflowers,,-1.21,1.21,,,,,,
,Sweet William,0.83,-0.38,1.21,,,,,,
,Tulips,1.1,0.16000000000000014,0.94,,,,,,
,Thistle eringium stems,1.52,,,,,,,,
Blue,Trachelium stems,0.93,0.09000000000000008,0.84,,,,,,
Green,Trick Dianthus stems,0.97,,0.95,,,,,,
,Veronica ,1.04,,,,,,,,
,Waxflower stems,1.22,0.050000000000000044,1.17,,,,,,
,,,,,,,,,,
,Aspidistra leaves,0.45,0.020000000000000018,0.43,,,,,,
