YPB,The FTD® You're Precious Bouquet,Unnamed: 2,Standard,Unnamed: 4,Deluxe,Unnamed: 6,Premium,Unnamed: 8,Exquisite,Unnamed: 10
,,ea.,YPBs,,YPBd,,YPBp,,YPBe,
,retail (w/o delivery),,,52,,72,,97,,120
,FTD.com Retail,,,62,,82,,107,,130
Pink,Alstroemeria stems,0.86,4,3.44,5,4.3,6,5.16,8,6.88
Hot Pink,50 cm Roses,1.18,3,3.54,7,8.26,10,11.799999999999999,12,14.16
Red,Mini Carnation stems,0.6,3,1.7999999999999998,4,2.4,6,3.5999999999999996,6,3.5999999999999996
Red,Standard Carnations,0.61,3,1.83,3,1.83,5,3.05,7,4.27
Pink,Standard Carnations,0.61,0,0,3,1.83,5,3.05,7,4.27
,Leatherleaf stems,0.18,3,0.54,3,0.54,3,0.54,3,0.54
,Variegated Pittosporum stems,0.71,1,0.71,1,0.71,1,0.71,2,1.42
,,,,0,,0,,0,,0
,,,,0,,0,,0,,0
,,,,0,,0,,0,,0
,,,,0,,0,,0,,0
,Clear Glass Vase,2.5,1,2.5,1,2.5,1,2.5,1,2.5
,TOTAL,,,14.360000000000003,,22.369999999999997,,30.410000000000004,,37.64
,retail     (w/o delivery),,,52,,72,,97,,120
,executing value         (retail * .71),0.71,,36.92,,51.12,,68.86999999999999,,85.19999999999999
,COGS     (EV * .50),0.5,,18.46,,25.56,,34.434999999999995,,42.599999999999994
,Gross Margin     (EV * .50),0.5,,18.46,,25.56,,34.434999999999995,,42.599999999999994
,ACTUAL GROSS MARGIN    (EV-TOTAL),,,22.56,,28.75,,38.45999999999999,,47.55999999999999
,Labor Cost    (retail x -10%),-0.1,,-5.2,,-7.2,,-9.700000000000001,,-12
,FTO,-2.75,,-2.75,,-2.75,,-2.75,,-2.75
,UCP Fee,-4.99,,-4.99,,-4.99,,-4.99,,-4.99
,Other Fees,-3,,-3,,-3,,-3,,-3
,TOTAL  (bottom line that florist makes),,,6.619999999999999,,10.81,,18.019999999999982,,24.819999999999986
,Net Margin    (TOTAL abv/RETAIL),,,0.1273076923076923,,0.1501388888888889,,0.18577319587628846,,0.20683333333333323
,,,,,,,,,,
,Actual COGS Percentage of Retail w/o delivery,,,0.2761538461538462,,0.3106944444444444,,0.3135051546391753,,0.31366666666666665
,,,,,,,,,,
,,,inches,cm,inches,cm,inches,cm,inches,cm
,,H,9,22.86,10,25.4,11,27.94,,0
,,W,12,30.48,13,33.02,14,35.56,,0
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,0.4,,0.4,,0.2,,0.2
,,,,,,,,,,
,,,,,,,,,,
EDAY 2023 PRICING,,,,,,,,,,
,,NEW 2023,,CDAY 2023,,,,,,
,Alstroemeria stems,0.62,-0.29000000000000004,0.91,,,,,,
,Asiatic Lily stems,1.47,-0.07000000000000006,1.54,,,,,,
,Button Pompon stems,0.63,-0.12,0.75,,,,,,
,Cushion Pompon stems,0.63,-0.12,0.75,,,,,,
