B59,Long Stem Red Rose Bouquet,Unnamed: 2,Standard,Unnamed: 4,Deluxe,Unnamed: 6,Premium,Unnamed: 8,Exquisite,Unnamed: 10
,,ea.,B59s,,B59d,,B59p,,B59e,
,retail (w/o delivery),,,65,,95,,125,,190
,FTD.com Retail,,,75,,105,,135,,200
Red,60 cm Roses,1.01,12,12.120000000000001,18,18.18,24,24.240000000000002,36,36.36
,Salal tips,0.26,4,1.04,4,1.04,4,1.04,4,1.04
,,,,0,,0,,0,,0
,,,,0,,0,,0,,0
,,,,0,,0,,0,,0
,,,,0,,0,,0,,0
,,,,0,,0,,0,,0
,,,,0,,0,,0,,0
,,,,0,,0,,0,,0
G307,"10"" French Vase (Giftwares)",6.65,1,6.65,1,6.65,1,6.65,,0
G309,"12"" French Vase (Giftwares)",9.15,,0,,0,,0,1,9.15
,container freight @ 25%,,1,1.66,1,1.66,1,1.66,1,2.29
,TOTAL,,,21.470000000000002,,27.529999999999998,,33.589999999999996,,48.839999999999996
,retail     (w/o delivery),,,65,,95,,125,,190
,executing value         (retail * .71),0.71,,46.15,,67.45,,88.75,,134.9
,COGS     (EV * .50),0.5,,23.075,,33.725,,44.375,,67.45
,Gross Margin     (EV * .50),0.5,,23.075,,33.725,,44.375,,67.45
,ACTUAL GROSS MARGIN    (EV-TOTAL),,,24.679999999999996,,39.92,,55.160000000000004,,86.06
,Labor Cost    (retail x -10%),-0.1,,-6.5,,-9.5,,-12.5,,-19
,FTO,-2.75,,-2.75,,-2.75,,-2.75,,-2.75
,UCP Fee,-4.99,,-4.99,,-4.99,,-4.99,,-4.99
,Other Fees,-3,,-3,,-3,,-3,,-3
,TOTAL  (bottom line that florist makes),,,7.439999999999996,,19.68,,31.92,,56.32
,Net Margin    (TOTAL abv/RETAIL),,,0.11446153846153839,,0.2071578947368421,,0.25536000000000003,,0.296421052631579
,,,,,,,,,,
,Actual COGS Percentage of Retail w/o delivery,,,0.33030769230769236,,0.2897894736842105,,0.26871999999999996,,0.25705263157894737
,,,,,,,,,,
,,,inches,cm,inches,cm,inches,cm,inches,cm
,,H,15,38.1,16,40.64,17,43.18,19,48.26
,,W,19,48.26,20,50.8,22,55.88,23,58.42
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,0.4,,0.4,,0.2,,0.2
,,,,,,,,,,
,,,,,,,,,,
EDAY 2023 PRICING,,,,,,,,,,
,,NEW 2023,,CDAY 2023,,,,,,
,Alstroemeria stems,0.62,-0.29000000000000004,0.91,,,,,,
,Asiatic Lily stems,1.47,-0.07000000000000006,1.54,,,,,,
,Button Pompon stems,0.63,-0.12,0.75,,,,,,
,Cushion Pompon stems,0.63,-0.12,0.75,,,,,,
,Daisy Pompon stems,0.63,-0.12,0.75,,,,,,
,Double Lisianthus stems,1.28,-0.32000000000000006,1.6,,,,,,
,"Delphinium stems, Belladonna",1.06,-0.43999999999999995,1.5,,,,,,
,"Delphinium stems, hybrid",1.26,-0.9200000000000002,2.18,,,,,,
,Disbud Stem,0.84,-0.13,0.97,,,,,,
,Gerbera Daisies,1.14,-0.3600000000000001,1.5,,,,,,
Blue,Hydrangea blooms,2.3,0.020000000000000018,2.28,,,,,,
Green,Mini Hydrangea blooms,1.69,0.050000000000000044,1.64,,,,,,
White,Hydrangea blooms,2.14,0,2.14,,,,,,
,Hypericum Berry stems,0.77,-0.13,0.9,,,,,,
,Iris stems,1.13,-0.07000000000000006,1.2,,,,,,
,LA Hybrid Lily stems,1.47,-0.16999999999999993,1.64,,,,,,
,Limonium Blue stream,0.84,-0.30999999999999994,1.15,,,,,,
,Limonium Misty Blue,0.84,,1.41,,,,,,
,Matsumoto Aster stems,0.79,-0.04999999999999993,0.84,,,,,,
,Mini Calla Lilies,1.65,-0.77,2.42,,,,,,
,Mini Carnation stems,0.51,-0.17999999999999994,0.69,,,,,,
,Monte Casino stems,0.66,0,0.66,,,,,,
White,Queen Anne's Lace,1.29,,1.25,,,,,,
,Ranunculus,1.64,,2.85,,,,,,
Orange,50 cm Roses,0.96,-0.08000000000000007,1.04,,,,,,
Yellow,50 cm Roses,0.96,-0.1200000000000001,1.08,,,,,,
Peach,50 cm Roses,0.96,-0.1200000000000001,1.08,,,,,,
Pink,50 cm Roses,0.96,-0.18999999999999995,1.15,,,,,,
Lavender,50 cm Roses,0.96,-0.1200000000000001,1.08,,,,,,
White,50 cm Roses,0.96,-0.32000000000000006,1.28,,,,,,
