L5483,Burnin' Love Bouquet,Unnamed: 2,Good,Unnamed: 4,Better,Unnamed: 6,Best,Unnamed: 8,Exquisite,Unnamed: 10
,,ea.,L5483s,,L5483d,,L5483p,,L5483e,
,retail (w/o delivery),,,55,,70,,90,,120
,FTD.com Retail,,,65,,80,,100,,
Red,50 cm Roses,1.62,3,4.86,5,8.100000000000001,8,12.96,,0
Red,LA Hybrid Lily stems,1.46,2,2.92,3,4.38,4,5.84,,0
Red,Gerbera Daisies,1.02,2,2.04,2,2.04,2,2.04,,0
,Salal tips,0.26,3,0.78,3,0.78,3,0.78,3,0.78
,Israeli Ruscus stems,0.41,2,0.82,2,0.82,4,1.64,4,1.64
,,,,0,,0,,0,,0
,,,,0,,0,,0,,0
,,,,0,,0,,0,,0
,,,,0,,0,,0,,0
,,,,0,,0,,0,,0
,,,,0,,0,,0,,0
,Red Glass Vase,3.57,1,3.57,1,3.57,1,3.57,1,3.57
,TOTAL,,,14.99,,19.689999999999998,,26.830000000000002,,
,retail     (w/o delivery),,,55,,70,,90,,120
,executing value         (retail * .71),0.71,,39.05,,49.699999999999996,,63.9,,85.19999999999999
,COGS     (EV * .50),0.5,,19.525,,24.849999999999998,,31.95,,42.599999999999994
,Gross Margin     (EV * .50),0.5,,19.525,,24.849999999999998,,31.95,,42.599999999999994
,ACTUAL GROSS MARGIN    (EV-TOTAL),,,24.059999999999995,,30.009999999999998,,37.06999999999999,,85.19999999999999
,Labor Cost    (retail x -10%),-0.1,,-5.5,,-7,,-9,,-12
,FTO,-2.75,,-2.75,,-2.75,,-2.75,,-2.75
,UCP Fee,-4.99,,-4.99,,-4.99,,-4.99,,-4.99
,Other Fees,-3,,-3,,-3,,-3,,-3
,TOTAL  (bottom line that florist makes),,,7.819999999999995,,12.269999999999998,,17.32999999999999,,62.459999999999994
,Net Margin    (TOTAL abv/RETAIL),,,0.1421818181818181,,0.17528571428571427,,0.19255555555555545,,0.5205
,,,,,,,,,,
,Actual COGS Percentage of Retail w/o delivery,,,0.27254545454545454,,0.28128571428571425,,0.2981111111111111,,
,,,,,,,,,,
,,,inches,cm,inches,cm,inches,cm,inches,cm
,,H,15,38.1,17,43.18,18,45.72,,0
,,W,15,38.1,17,43.18,19,48.26,,0
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,0.4,,0.4,,0.2,,0.2
,,,,,,,,,,
VDAy PRICING - 2023,,,,,,,,,,
,,NEW 2023,,NEW 2022,,,,,,
,Alstroemeria stems,0.8,0.15000000000000002,0.65,,,,,,
,Asiatic Lily stems,,0,,,,,,,
,Bells of Ireland,0.91,,0.77,,,,,,
,Button Pompon stems,0.65,0.09999999999999998,0.55,,,,,,
,Craspedia,0.9,,0.76,,,,,,
,Cushion Pompon stems,0.65,0.09999999999999998,0.55,,,,,,
,Daisy Pompon stems,0.65,0.09999999999999998,0.55,,,,,,
,Delphinium belladona Stems,1.17,,1.13,,,,,,
,Delphinium hybrid Stems,1.45,,1.68,,,,,,
,Dendrobium Orchid Stems,2.53,-0.1900000000000004,2.72,,,,,,
,Double Lisianthus stems,1.44,0.1499999999999999,1.29,,,,,,
,Disbud Stem,0.95,0.16999999999999993,0.78,,,,,,
,Gerbera Daisies,1.02,0,1.02,,,,,,
Blue,Hydrangea blooms,2.1,0.1200000000000001,1.98,,,,,,
Green,Mini Hydrangea blooms,1.65,0.19999999999999996,1.45,,,,,,
Pink,Hydrangea blooms,5.78,0.6100000000000003,5.17,,,,,,
Purple,Hydrangea blooms,6.26,0.46999999999999975,5.79,,,,,,
White,Hydrangea blooms,2.15,0.22999999999999998,1.92,,,,,,
,Hypericum Berry stems,0.97,0.18999999999999995,0.78,,,,,,
,Iris stems,0.97,0.04999999999999993,0.92,,,,,,
,LA Hybrid Lily stems,1.46,0.08999999999999986,1.37,,,,,,
,Liatris ,0.97,,0.83,,,,,,
,Larkspur stems,1.4,0.42999999999999994,0.97,,,,,,
,Limonium Blue stream,1.16,0.2699999999999999,0.89,,,,,,
,Limonium Misty Blue,1.16,,0.89,,,,,,
,Matsumoto Aster stems,0.84,0.12,0.72,,,,,,
,Mini Calla Lilies,2.55,0.13999999999999968,2.41,,,,,,
,Mini Carnation stems,0.6,0.09999999999999998,0.5,,,,,,
,Mokara Orchid Stems,2.77,-0.10000000000000009,2.87,,,,,,
,Monte Casino stems,0.71,0.10999999999999999,0.6,,,,,,
Pink,Oriental Lily stems,2.24,0.42000000000000015,1.82,,,,,,
White,Oriental Lily stems,2.24,0.42000000000000015,1.82,,,,,,
White,Queen Anne's Lace,,,,,,,,,
,Ranunculus,2.01,,1.78,,,,,,
,50 cm Roses (Asstd),1.1,0.17000000000000004,0.93,,,,,,
Orange,50 cm Roses,1.13,0.1399999999999999,0.99,,,,,,
Yellow,50 cm Roses,1.15,0.15999999999999992,0.99,,,,,,
Peach,50 cm Roses,1.24,0.25,0.99,,,,,,
Pink,50 cm Roses,1.24,0.25,0.99,,,,,,
Lavender,50 cm Roses,1.24,0.30999999999999994,0.93,,,,,,
White,50 cm Roses,1.24,0.21999999999999997,1.02,,,,,,
Red,50 cm Roses,1.62,0.7000000000000001,0.92,,,,,,
,Scabiosa stems,1.34,,,,,,,,
,Snapdragon stems,1.09,1.09,,,,,,,
,Solidago stems,0.68,0.050000000000000044,0.63,,,,,,
,Spider Mums,0.95,0.16999999999999993,0.78,,,,,,
,Spray Rose stems,1.18,0.21999999999999997,0.96,,,,,,
,Standard Carnations,0.62,0.12,0.5,,,,,,
,Starfighter Lily stems,2.24,0.42000000000000015,1.82,,,,,,
,Stargazer Lily stems,,0,,,,,,,
,Statice stems,0.73,0.05999999999999994,0.67,,,,,,
,"Statice, seafoam stems",,,,,,,,,
,Stock stems,0.88,0.06000000000000005,0.82,,,,,,
,Sunflowers,1.87,0.7300000000000002,1.14,,,,,,
,Sweet William,0.88,0,0.88,,,,,,
,Tulips,1.06,-0.16999999999999993,1.23,,,,,,
,Thistle eringium stems,1.61,0.17000000000000015,1.44,,,,,,
Blue,Trachelium stems,1.04,0.12,0.92,,,,,,
Green,Trick Dianthus stems,1.03,0.09999999999999998,0.93,,,,,,
,Veronica ,1.09,,0.98,,,,,,
,Waxflower stems,,0,,,,,,,
,,,,,,,,,,
,Aspidistra leaves,0.81,0.38000000000000006,0.43,,,,,,
,Baby Blue Eucalyptus stems,0.93,0.040000000000000036,0.89,,,,,,
,Bear Grass blades,0.09,0.009999999999999995,0.08,,,,,,
,Curly Willow tips,0.94,0.04999999999999993,0.89,,,,,,
,Gunni Eucalyptus stems,1.18,0.06999999999999984,1.11,,,,,,
,Silver dollar Eucalyptus stems,1.88,0.07999999999999985,1.8,,,,,,
,Green Pittosporum stems,0.68,0.030000000000000027,0.65,,,,,,
,Israeli Ruscus stems,0.41,0.03999999999999998,0.37,,,,,,
,Italian Ruscus stems,1.86,-0.10999999999999988,1.97,,,,,,
,Italian Variegated Pittosporum stems,0.94,-0.09000000000000008,1.03,,,,,,
,Ivy vines,0.77,0.12,0.65,,,,,,
,Leatherleaf stems,0.19,0.01999999999999999,0.17,,,,,,
,Lily Grass blades,0.36,0.019999999999999962,0.34,,,,,,
,Mini Myrtle stems,1.02,0.07000000000000006,0.95,,,,,,
,Myrtle stems,0.93,0.13,0.8,,,,,,
,Salal stems,0.49,0.04999999999999999,0.44,,,,,,
,Salal tips,0.26,0.03,0.23,,,,,,
,Seeded Eucalyptus stems,1.88,0.07999999999999985,1.8,,,,,,
,Sword Fern fronds,0.54,-0.010000000000000009,0.55,,,,,,
,Ti leaves,0.05,-0.41000000000000003,0.46,,,,,,
,Variegated Aspidistra leaves,0.81,0.07000000000000006,0.74,,,,,,
,Variegated Pittosporum stems,0.71,0.039999999999999925,0.67,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,Generic Glass Vase,2.5,1,2.5,1,2.5,1,2.5,1,2.5
,,,,,,,,,,
2120S,Small Cinched Vase,5.12,1,5.12,1,5.12,,0,,0
2120L,Large Cinched Vase,5.94,,0,,0,1,5.94,1,0
,,,,,,,,,,
Red,FSG vase,3.57,1,3.57,1,3.57,1,3.57,1,3.57
,,,,,,,,,,
Purple,FSG vase,3.57,1,3.57,1,3.57,1,3.57,1,3.57
