Colors,Flowers,StemPrice,SQty,SPrice,DQty,DPrice,PQty,PPrice,EQty,EPrice
Orange,50 cm Roses,1.18,2,2.36,4,4.72,6,7.08,9,10.62
Lavender,Cushion Pompon stems,0.7,2,1.4,4,2.8,5,3.5,5,3.5
Hot Pink,Mini Carnation stems,0.6,2,1.2,4,2.4,5,3,5,3
Purple,Daisy Pompon stems,0.7,2,1.4,3,2.0999999999999996,4,2.8,5,3.5
Pink,LA Hybrid Lily stems,1.67,1,1.67,2,3.34,4,6.68,4,6.68
,Leatherleaf stems,0.18,3,0.54,3,0.54,3,0.54,3,0.54
,,,,0,,0,,0,,0
,,,,0,,0,,0,,0
,,,,0,,0,,0,,0
,,,,0,,0,,0,,0
,,,,0,,0,,0,,0
,FSG vase,2.5,1,2.5,1,2.5,1,2.5,1,2.5
