Colors,Flowers,StemPrice,SQty,SPrice,DQty,DPrice,PQty,PPrice,EQty,EPrice
Hot Pink,Standard Carnations,0.61,3,1.83,3,1.83,3,1.83,3,1.83
Orange,Spray Rose stems,1.16,2,2.32,3,3.4799999999999995,3,3.4799999999999995,3,3.4799999999999995
Orange,Gerbera Daisies,1.39,2,2.78,2,2.78,3,4.17,3,4.17
Hot Pink,Mini Carnation stems,0.6,2,1.2,2,1.2,2,1.2,2,1.2
Peach,Hypericum Berry stems,0.9,1,0.9,2,1.8,3,2.7,3,2.7
Hot Pink,50 cm Roses,1.18,0,0,2,2.36,4,4.72,10,11.799999999999999
Pink,Stock stems,0.96,0,0,2,1.92,3,2.88,3,2.88
,Israeli Ruscus stems,0.38,4,1.52,4,1.52,4,1.52,4,1.52
,Salal tips,0.26,1,0.26,1,0.26,1,0.26,1,0.26
,,,,0,,0,,0,,0
2120S,Small Cinched Vase,5.12,1,5.12,1,5.12,,0,,0
2120L,Large Cinched Vase,5.94,,0,,0,1,5.94,1,5.94
