Colors,Flowers,StemPrice,SQty,SPrice,DQty,DPrice,PQty,PPrice,EQty,EPrice
Lavender,50 cm Roses,1.18,2,2.36,3,3.54,0,0,8,9.44
Purple,Stock stems,0.88,2,0,4,0,0,0,6,5.28
Pink,Standard Carnations,0.61,2,0,3,0,4,0,4,0
Hot Pink,Alstroemeria stems,0.86,2,1.72,3,2.58,0,0,0,0
Hot Pink,50 cm Roses,1.18,0,0,0,0,5,5.8999999999999995,5,5.8999999999999995
Hot Pink,Stock stems,0.88,0,0,0,0,5,4.4,0,0
Purple,Daisy Pompon stems,0.7,0,0,0,0,4,2.8,0,0
Pink,Hydrangea blooms,2.14,0,0,0,0,2,4.28,0,0
Purple,Alstroemeria stems,0.86,0,0,0,0,0,0,5,4.3
Pink,LA Hybrid Lily stems,1.67,0,0,0,0,0,0,2,3.34
2120S,Small Cinched Vase,5.12,1,5.12,1,5.12,0,0,0,0
2120L,Large Cinched Vase,5.94,0,0,0,0,1,5.94,1,5.94
