Colors,Flowers,StemPrice,SQty,SPrice,DQty,DPrice,PQty,PPrice,EQty,EPrice
Pink,Standard Carnations,0.53,5,2.6500000000000004,7,3.71,9,4.7700000000000005,9,4.7700000000000005
Pink,Stock stems,0.88,3,2.64,5,4.4,6,5.28,8,7.04
Pink,50 cm Roses,0.97,2,1.94,3,2.91,5,4.85,8,7.76
Pink,LA Hybrid Lily stems,1.46,2,2.92,3,4.38,4,5.84,4,5.84
Green,Fuji Mums,0.83,2,1.66,2,1.66,3,2.4899999999999998,4,3.32
,Israeli Ruscus stems,0.39,4,1.56,5,1.9500000000000002,6,2.34,6,2.34
,Leatherleaf stems,0.18,4,0.72,4,0.72,4,0.72,4,0.72
,,,,0,,0,,0,,0
,,,,0,,0,,0,,0
,container freight @ 20% (codified/HIGH),1.13,1,1.13,1,1.13,1,1.13,1,1.13
,Floral Foam blocks,0.75,1.5,1.125,1.5,1.125,1.5,1.125,1.5,1.125
2097,Medium Oval Woodchip Basket (Giftwares),5.67,1,5.67,1,5.67,1,5.67,1,5.67
