Colors,Flowers,StemPrice,SQty,SPrice,DQty,DPrice,PQty,PPrice,EQty,EPrice
Pink,Alstroemeria stems,0.86,4,3.44,5,4.3,6,5.16,8,6.88
Hot Pink,50 cm Roses,1.18,3,3.54,7,8.26,10,11.799999999999999,12,14.16
Red,Mini Carnation stems,0.6,3,1.7999999999999998,4,2.4,6,3.5999999999999996,6,3.5999999999999996
Red,Standard Carnations,0.61,3,1.83,3,1.83,5,3.05,7,4.27
Pink,Standard Carnations,0.61,0,0,3,1.83,5,3.05,7,4.27
,Leatherleaf stems,0.18,3,0.54,3,0.54,3,0.54,3,0.54
,Variegated Pittosporum stems,0.71,1,0.71,1,0.71,1,0.71,2,1.42
,,,,0,,0,,0,,0
,,,,0,,0,,0,,0
,,,,0,,0,,0,,0
,,,,0,,0,,0,,0
,Clear Glass Vase,2.5,1,2.5,1,2.5,1,2.5,1,2.5
