Colors,Flowers,StemPrice,SQty,SPrice,DQty,DPrice,PQty,PPrice,EQty,EPrice
Red,Mini Carnation stems,0.6,3,1.7999999999999998,3,1.7999999999999998,3,1.7999999999999998,3,1.7999999999999998
White,Stock stems,0.88,2,1.76,3,2.64,4,3.52,4,3.52
Red,50 cm Roses,1.62,1,1.62,3,4.86,6,9.72,12,19.44
Pink,LA Hybrid Lily stems,1.46,1,1.46,2,2.92,2,2.92,2,2.92
,Salal tips,0.26,3,0.78,3,0.78,3,0.78,3,0.78
,,,,0,,0,,0,,0
,,,,0,,0,,0,,0
,,,,0,,0,,0,,0
,,,,0,,0,,0,,0
,,,,0,,0,,0,,0
2120S,Small Cinched Glass Vase,5.12,1,5.12,1,5.12,,0,,0
2120L,Large Cinched Glass Vase,5.94,,0,,0,1,5.94,1,5.94
