Colors,Flowers,StemPrice,SQty,SPrice,DQty,DPrice,PQty,PPrice,EQty,EPrice
Green,Button Pompon stems,0.63,4,2.52,4,2.52,4,2.52,5,3.15
Hot Pink,50 cm Roses,0.96,2,1.92,3,2.88,4,3.84,5,4.8
Yellow,Sunflowers,1.12,2,2.24,2,2.24,3,3.3600000000000003,4,4.48
Orange,LA Lily stems,1.47,1,1.47,2,2.94,2,2.94,3,4.41
Purple,Double Lisianthus stems,1.28,1,1.28,1,1.28,2,2.56,2,2.56
Yellow,Snapdragon stems,0.92,0,0,2,1.84,2,1.84,3,2.7600000000000002
,Salal tips,0.23,3,0.6900000000000001,3,0.6900000000000001,3,0.6900000000000001,3,0.6900000000000001
,,,,0,,0,,0,,0
,,,,0,,0,,0,,0
,,,,0,,0,,0,,0
2120S,Small Cinched Vase,5.12,1,5.12,1,5.12,,0,,0
2120L,Large Cinched Vase,5.94,,0,,0,1,5.94,1,5.94
