Colors,Flowers,StemPrice,SQty,SPrice,DQty,DPrice,PQty,PPrice,EQty,EPrice
Orange,50 cm Roses,0.96,2,1.92,4,3.84,6,5.76,9,8.64
Lavender,Cushion Pompon stems,0.63,2,1.26,4,2.52,5,3.15,5,3.15
Hot Pink,Mini Carnation stems,0.51,2,1.02,4,2.04,5,2.55,5,2.55
Purple,Daisy Pompon stems,0.63,2,1.26,3,1.8900000000000001,4,2.52,5,3.15
Pink,LA Hybrid Lily stems,1.47,1,1.47,2,2.94,4,5.88,4,5.88
,Leatherleaf stems,0.17,3,0.51,3,0.51,3,0.51,3,0.51
,,,,0,,0,,0,,0
,,,,0,,0,,0,,0
,,,,0,,0,,0,,0
,,,,0,,0,,0,,0
,Floral Foam blocks,0.75,0.5,0.375,0.5,0.375,0.5,0.375,0.6666666666666666,0.5
2120WB,Whitewashed Wooden Box,7.41,1,7.41,1,7.41,1,7.41,1,7.41
