Colors,Flowers,StemPrice,SQty,SPrice,DQty,DPrice,PQty,PPrice,EQty,EPrice
Red,Standard Carnations,0.62,3,1.8599999999999999,4,2.48,4,2.48,4,2.48
Red,Mini Carnation stems,0.6,3,1.7999999999999998,3,1.7999999999999998,4,2.4,4,2.4
Red,50 cm Roses,1.62,2,3.24,3,4.86,6,9.72,12,19.44
Red,Alstroemeria stems,0.8,2,1.6,3,2.4000000000000004,4,3.2,4,3.2
,Salal tips,0.26,3,0.78,3,0.78,3,0.78,3,0.78
,Israeli Ruscus stems,0.41,2,0.82,4,1.64,4,1.64,4,1.64
,,,,0,,0,,0,,0
,,,,0,,0,,0,,0
,,,,0,,0,,0,,0
,,,,0,,0,,0,,0
,,,,0,,0,,0,,0
,Red Glass Vase,3.57,1,3.57,1,3.57,1,3.57,1,3.57
