Input,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
,Name of Arrangement,,The FTD® COD™ Bouquet,,The FTD® COD™ Bouquet,,The FTD® COD™ Bouquet,,The FTD® COD™ Bouquet
,Size of Arrangement,,Standard,,Deluxe,,Premium,,Exquisite
,SRP,,95.99,,105.99,,115.99,,
,Total SRP of Bundle,,95.99,,105.99,,115.99,,0
,,,,,,,,,
,,,,,,,,,
,Member Profitability,,,,,,,,
,SRP,,95.99,,105.99,,115.99,,0
,Less Commission (20%),,-19.198,,-21.198,,-23.198,,0
,Less C/H Fee (9%),,-8.6391,,-9.5391,,-10.4391,,0
,Less UCP Fee,,-4.99,,-4.99,,-4.99,,-4.99
,Less Transmission Fee,,-2.75,,-2.75,,-2.75,,-2.75
,Less Delivery Fee,,-10,,-10,,-10,,-10
,Less Labor (10%),,-9.599,,-10.599,,-11.599,,0
,Less Other,,-3,,-3,,-3,,-3
,Less Hardgood,,-2.91,,-2.91,,-2.91,,-2.91
,Less Floral Cost,,-15.72,,-16.68,,-19.29,,0
,Total Gross Margin,,19.18390000000001,,24.323900000000002,,27.81390000000001,,-23.650000000000002
,Gross Margin %,,0.19985310969892706,,0.22949240494386267,,0.23979567204069327,,
,,,**GM should not be below 20%,,,,,,
,,,,,,,,,
Color,Floral Costs,Qty,,Qty,,Qty,,Qty,
Red,50 cm Roses,7,6.72,8,7.68,10,9.6,,0
Red,Standard Carnations,6,3.18,6,3.18,6,3.18,,0
Red,Mini Carnation stems,6,3.06,6,3.06,6,3.06,,0
,Variegated Pittosporum stems,4,2.76,4,2.76,5,3.4499999999999997,,0
,,,0,,0,,0,,0
,,,0,,0,,0,,0
,,,0,,0,,0,,0
,,,0,,0,,0,,0
,,,0,,0,,0,,0
,,,0,,0,,0,,0
,,,0,,0,,0,,0
,,,0,,0,,0,,0
,,,15.72,,16.68,,19.29,,0
,,,,,,,,,
,Hardgood Costs,Qty,,Qty,,Qty,,Qty,
,Clear Glass,1,2.5,1,2.5,1,2.5,1,2.5
,Ribbon,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41
,,,0,,0,,0,,0
,,,0,,0,,0,,0
,,,0,,0,,0,,0
,,,0,,0,,0,,0
,,,2.91,,2.91,,2.91,,2.91
