Input,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
,Name of Arrangement,,Wine Country Blossoms,,Wine Country Blossoms,,Wine Country Blossoms,,Wine Country Blossoms
,Size of Arrangement,,Standard,,Deluxe,,Premium,,Exquisite
,SRP,,89.99,,109.99,,132.99,,
,Total SRP of Bundle,,89.99,,109.99,,132.99,,0
,,,,,,,,,
,,,,,,,,,
,Member Profitability,,,,,,,,
,SRP,,89.99,,109.99,,132.99,,0
,Less Commission (20%),,-17.998,,-21.998,,-26.598000000000003,,0
,Less C/H Fee (9%),,-8.0991,,-9.899099999999999,,-11.969100000000001,,0
,Less UCP Fee,,-4.99,,-4.99,,-4.99,,-4.99
,Less Transmission Fee,,-2.75,,-2.75,,-2.75,,-2.75
,Less Delivery Fee,,-10,,-10,,-10,,-10
,Less Labor (10%),,-8.999,,-10.999,,-13.299000000000001,,0
,Less Other,,-3,,-3,,-3,,-3
,Less Hardgood,,-2.5,,-2.5,,-2.5,,-2.5
,Less Floral Cost,,-14.35,,-16.7,,-19.74,,0
,Total Gross Margin,,17.303899999999985,,27.15389999999999,,38.143900000000016,,-23.240000000000002
,Gross Margin %,,0.19228692076897416,,0.2468760796436039,,0.286817805850064,,
,,,**GM should not be below 20%,,,,,,
,,,,,,,,,
Color,Floral Costs,Qty,,Qty,,Qty,,Qty,
Pink,Standard Carnations,3,1.59,2,1.06,2,1.06,,0
Purple,Mini Carnation stems,3,1.53,3,1.53,3,1.53,,0
Pink,50 cm Roses,0,0,3,2.88,5,4.8,,0
Lavender,Alstroemeria stems,1,0.62,1,0.62,2,1.24,,0
Purple,Statice stems,2,1.18,2,1.18,2,1.18,,0
Lavender,Button Pompon stems,3,1.8900000000000001,3,1.8900000000000001,3,1.8900000000000001,,0
,Variegated Pittosporum stems,1,0.69,1,0.69,1,0.69,,0
,Fern,5,1.25,5,1.25,7,1.75,,0
,Silver dollar Eucalyptus stems,1,2.1,1,2.1,1,2.1,,0
Green,Echevaria Succulent,1,3.5,1,3.5,1,3.5,,0
,,,0,,0,,0,,0
,,,0,,0,,0,,0
,,,14.35,,16.7,,19.74,,0
,,,,,,,,,
,Hardgood Costs,Qty,,Qty,,Qty,,Qty,
,Clear Glass,1,2.5,1,2.5,1,2.5,1,2.5
,,,0,,0,,0,,0
,,,0,,0,,0,,0
,,,0,,0,,0,,0
,,,0,,0,,0,,0
,,,0,,0,,0,,0
,,,2.5,,2.5,,2.5,,2.5
