Input,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
,Name of Arrangement,,Be Bold on Your Birthday,,Be Bold on Your Birthday,,Be Bold on Your Birthday,,Be Bold on Your Birthday
,Size of Arrangement,,Standard,,Deluxe,,Premium,,Exquisite
,SRP,,87.99,,109.99,,136.99,,
,Total SRP of Bundle,,87.99,,109.99,,136.99,,0
,,,,,,,,,
,,,,,,,,,
,Member Profitability,,,,,,,,
,SRP,,87.99,,109.99,,136.99,,0
,Less Commission (20%),,-17.598,,-21.998,,-27.398000000000003,,0
,Less C/H Fee (9%),,-7.919099999999999,,-9.899099999999999,,-12.3291,,0
,Less UCP Fee,,-4.99,,-4.99,,-4.99,,-4.99
,Less Transmission Fee,,-2.75,,-2.75,,-2.75,,-2.75
,Less Delivery Fee,,-10,,-10,,-10,,-10
,Less Labor (10%),,-8.799,,-10.999,,-13.699000000000002,,0
,Less Other,,-3,,-3,,-3,,-3
,Less Hardgood,,-6,,-6,,-6,,-6
,Less Floral Cost,,-12.299999999999999,,-15.89,,-20.29,,0
,Total Gross Margin,,14.633899999999995,,24.463899999999988,,36.533900000000024,,-26.740000000000002
,Gross Margin %,,0.1663132174110694,,0.22241931084644048,,0.2666902693627274,,
,,,**GM should not be below 20%,,,,,,
,,,,,,,,,
Color,Floral Costs,Qty,,Qty,,Qty,,Qty,
Orange,50 cm Roses,2,1.92,3,2.88,6,5.76,,0
Orange,Spray Rose stems,1,0.9,1,0.9,1,0.9,,0
Hot Pink,Stock stems,2,1.7,3,2.55,3,2.55,,0
Hot Pink,Standard Carnations,2,1.06,3,1.59,4,2.12,,0
,Baby Blue Eucalyptus stems,6,5.9399999999999995,7,6.93,8,7.92,,0
,Salal tips,3,0.78,4,1.04,4,1.04,,0
,,,0,,0,,0,,0
,,,0,,0,,0,,0
,,,0,,0,,0,,0
,,,0,,0,,0,,0
,,,0,,0,,0,,0
,,,0,,0,,0,,0
,,,12.299999999999999,,15.89,,20.29,,0
,,,,,,,,,
,Hardgood Costs,Qty,,Qty,,Qty,,Qty,
,Clear Glass,1,2.5,1,2.5,1,2.5,1,2.5
,Birthday Pick,1,3.5,1,3.5,1,3.5,1,3.5
,,,0,,0,,0,,0
,,,0,,0,,0,,0
,,,0,,0,,0,,0
,,,0,,0,,0,,0
,,,6,,6,,6,,6
