Input,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
,Name of Arrangement,,Pretty Please,,Pretty Please,,Pretty Please,,Pretty Please
,Size of Arrangement,,Standard,,Deluxe,,Premium,,Exquisite
,SRP,,74.99,,96.99,,121.99,,
,Total SRP of Bundle,,74.99,,96.99,,121.99,,0
,,,,,,,,,
,,,,,,,,,
,Member Profitability,,,,,,,,
,SRP,,74.99,,96.99,,121.99,,0
,Less Commission (20%),,-14.998,,-19.398,,-24.398,,0
,Less C/H Fee (9%),,-6.749099999999999,,-8.729099999999999,,-10.979099999999999,,0
,Less UCP Fee,,-4.99,,-4.99,,-4.99,,-4.99
,Less Transmission Fee,,-2.75,,-2.75,,-2.75,,-2.75
,Less Delivery Fee,,-10,,-10,,-10,,-10
,Less Labor (10%),,-7.499,,-9.699,,-12.199,,0
,Less Other,,-3,,-3,,-3,,-3
,Less Hardgood,,-2.91,,-2.91,,-2.91,,-2.91
,Less Floral Cost,,-8.27,,-12.159999999999998,,-17.12,,0
,Total Gross Margin,,13.823899999999998,,23.353899999999996,,33.6439,,-23.650000000000002
,Gross Margin %,,0.18434324576610214,,0.24078667903907616,,0.2757922780555784,,
,,,**GM should not be below 20%,,,,,,
,,,,,,,,,
Color,Floral Costs,Qty,,Qty,,Qty,,Qty,
Hot Pink,Spray Rose stems,2,1.8,4,3.6,6,5.4,,0
White,Daisy Pompon stems,1,0.63,2,1.26,3,1.8900000000000001,,0
Green,Button Pompon stems,2,1.26,2,1.26,3,1.8900000000000001,,0
Purple,Monte Casino stems,3,1.98,3,1.98,4,2.64,,0
Purple,Limonium Misty Blue,1,0.84,2,1.68,2,1.68,,0
Pink,Alstroemeria stems,2,1.24,3,1.8599999999999999,5,3.1,,0
,Salal tips,2,0.52,2,0.52,2,0.52,,0
,,,0,,0,,0,,0
,,,0,,0,,0,,0
,,,0,,0,,0,,0
,,,0,,0,,0,,0
,,,0,,0,,0,,0
,,,8.27,,12.159999999999998,,17.12,,0
,,,,,,,,,
,Hardgood Costs,Qty,,Qty,,Qty,,Qty,
,Clear Glass,1,2.5,1,2.5,1,2.5,1,2.5
,Ribbon,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41
,,,0,,0,,0,,0
,,,0,,0,,0,,0
,,,0,,0,,0,,0
,,,0,,0,,0,,0
,,,2.91,,2.91,,2.91,,2.91
