Input,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
,Name of Arrangement,,The Starstruck Bouquet,,The Starstruck Bouquet,,The Starstruck Bouquet,,The Starstruck Bouquet
,Size of Arrangement,,Standard,,Deluxe,,Premium,,Exquisite
,SRP,,66,,86,,112,,155
,Total SRP of Bundle,,66,,86,,112,,155
,,,,,,,,,
,,,,,,,,,
,Member Profitability,,,,,,,,
,SRP,,66,,86,,112,,155
,Less Commission (20%),,-13.200000000000001,,-17.2,,-22.400000000000002,,-31
,Less C/H Fee (9%),,-5.9399999999999995,,-7.739999999999999,,-10.08,,-13.95
,Less UCP Fee,,-4.99,,-4.99,,-4.99,,-4.99
,Less Transmission Fee,,-2.75,,-2.75,,-2.75,,-2.75
,Less Delivery Fee,,-10,,-10,,-10,,-10
,Less Labor (10%),,,,,,,,
,Less Other,,-3,,-3,,-3,,-3
,Less Hardgood,,-5.12,,-5.12,,-5.94,,-5.94
,Less Floral Cost,,-7.88,,-13.76,,-19.520000000000003,,-29.120000000000005
,Total Gross Margin,,13.119999999999997,,21.439999999999998,,33.32,,54.25
,Gross Margin %,,0.19878787878787874,,0.2493023255813953,,0.2975,,0.35
,,,**GM should not be below 20%,,,,,,
,,,,,,,,,
Color,Floral Costs,Qty,,Qty,,Qty,,Qty,
Red,Mini Carnation stems,3,1.8599999999999999,3,1.8599999999999999,3,1.8599999999999999,3,1.8599999999999999
White,Stock stems,2,1.92,3,2.88,4,3.84,4,3.84
Red,Red 50 cm Roses,1,1.6,3,4.800000000000001,6,9.600000000000001,12,19.200000000000003
Pink,LA Hybrid Lily stems,1,1.72,2,3.44,2,3.44,2,3.44
,Salal tips,3,0.78,3,0.78,3,0.78,3,0.78
,,,0,,0,,0,,0
,,,0,,0,,0,,0
,,,0,,0,,0,,0
,,,0,,0,,0,,0
,,,0,,0,,0,,0
,,,0,,0,,0,,0
,,,0,,0,,0,,0
,,,7.88,,13.76,,19.520000000000003,,29.120000000000005
,,,,,,,,,
,Hardgood Costs,Qty,,Qty,,Qty,,Qty,
,2120S - Small Cinched Glass Vase,1,5.12,1,5.12,,0,,0
,2120L - Large Cinched Glass Vase,,0,,0,1,5.94,1,5.94
,,,0,,0,,0,,0
,,,0,,0,,0,,0
,,,0,,0,,0,,0
,,,0,,0,,0,,0
,,,5.12,,5.12,,5.94,,5.94
