"","marr","wage","exper","age","coll","games","minutes","guard","forward","center","points","rebounds","assists","draft","allstar","avgmin","lwage","black","children","expersq","agesq","marrblck"
"1",0,650,1,25,4,74,1149,0,0,1,6,3,0,"19",0,15.53,6.48,1,0,1,625,0
"2",0,3120,2,24,4,60,2018,0,0,1,22,10,1,"2",1,33.63,8.05,1,0,4,576,0
"3",0,4000,18,41,4,74,1987,0,0,1,12,7,1,"8",0,26.85,8.29,1,0,324,1681,0
"4",1,1059,4,26,4,76,1502,0,0,1,7,6,1,"7",0,19.76,6.97,0,1,16,676,0
"5",1,1020,7,29,4,43,397,0,0,1,3,3,1,"11",0,9.23,6.93,0,0,49,841,0
"6",1,150,8,31,4,76,1371,0,0,1,7,5,1,"16",0,18.04,5.01,0,1,64,961,0
"7",1,3541,8,28,4,50,1838,0,0,1,17,10,3,"1",0,36.76,8.17,1,1,64,784,1
"8",0,845,4,25,3,50,428,0,0,1,3,2,1,"33",0,8.56,6.74,1,0,16,625,0
"9",0,488,3,24,4,47,1255,0,0,1,11,6,1,"30",0,26.7,6.19,1,0,9,576,0
"10",0,3000,3,28,4,82,2853,0,0,1,12,12,2,"4",0,34.79,8.01,1,0,9,784,0
"11",0,300,5,28,4,71,1163,0,0,1,5,4,1,"17",0,16.38,5.7,0,0,25,784,0
"12",1,672,2,24,4,69,1786,0,0,1,9,7,4,"22",0,25.88,6.51,1,1,4,576,1
"13",1,1000,11,34,4,82,1230,0,0,1,5,4,0,"30",0,15,6.91,1,0,121,1156,1
"14",0,3170,11,31,4,80,3277,0,0,1,27,12,4,"1",1,40.96,8.06,1,0,121,961,0
"15",0,225,2,24,4,47,219,0,0,1,2,1,0,".",0,4.66,5.42,1,0,4,576,0
"16",0,2840,3,24,4,14,350,0,0,1,7,7,1,"23",0,25,7.95,1,1,9,576,0
"17",1,569,2,25,4,76,1930,0,0,1,9,6,1,"25",0,25.39,6.34,1,0,4,625,1
"18",0,150,1,25,4,53,535,0,0,1,2,2,0,".",0,10.09,5.01,0,0,1,625,0
"19",1,3200,9,33,4,25,556,0,0,1,9,5,2,"2",0,22.24,8.07,0,0,81,1089,0
"20",1,4133,5,26,0,79,2685,0,0,1,14,11,4,"26",0,33.99,8.33,0,0,25,676,0
"21",0,250,2,25,4,72,1199,0,0,1,7,4,0,"42",0,16.65,5.52,0,0,4,625,0
"22",0,3057,6,29,4,72,2410,0,0,1,15,10,2,"9",0,33.47,8.03,1,0,36,841,0
"23",0,1375,8,31,4,82,1921,0,0,1,4,5,1,"69",0,23.43,7.23,1,1,64,961,0
"24",1,3575,9,30,3,77,1817,0,0,1,9,7,1,"3",0,23.6,8.18,1,0,81,900,1
"25",1,921,4,26,4,30,319,0,0,1,2,3,0,".",0,10.63,6.83,0,0,16,676,0
"26",1,3625,9,32,4,79,2972,0,0,1,25,11,2,"1",1,37.62,8.2,1,0,81,1024,1
"27",1,1600,13,36,4,70,774,0,0,1,3,3,0,"14",0,11.06,7.38,1,1,169,1296,1
"28",1,985,11,33,4,29,309,0,0,1,1,2,0,"21",0,10.66,6.89,0,0,121,1089,0
"29",0,3900,2,22,3,81,3224,0,0,1,29,13,2,"1",1,39.8,8.27,1,1,4,484,0
"30",1,150,17,39,4,45,384,0,0,1,2,2,0,"14",0,8.53,5.01,1,0,289,1521,1
"31",1,2700,1,22,1,49,1385,0,0,1,10,6,2,"2",0,28.27,7.9,1,0,1,484,1
"32",1,650,9,32,4,74,848,0,0,1,4,3,1,"6",0,11.46,6.48,0,1,81,1024,0
"33",0,790,7,29,4,6,86,0,0,1,2,4,1,"75",0,14.33,6.67,1,0,49,841,0
"34",1,1260,4,26,4,41,674,0,0,1,4,5,0,"18",0,16.44,7.14,1,1,16,676,1
"35",0,150,1,24,4,55,667,0,0,1,3,3,0,"52",0,12.13,5.01,0,1,1,576,0
"36",1,150,5,30,4,28,94,0,0,1,2,1,0,"79",0,3.36,5.01,0,1,25,900,0
"37",1,5740,5,29,4,80,3241,0,0,1,30,11,5,"1",1,40.51,8.66,1,1,25,841,1
"38",0,617,2,27,4,45,280,0,0,1,3,3,0,"23",0,6.22,6.42,1,0,4,729,0
"39",0,700,4,25,4,27,78,0,0,1,2,1,0,"14",0,2.89,6.55,0,0,16,625,0
"40",0,170,5,27,4,35,152,0,0,1,2,1,0,"39",0,4.34,5.14,0,0,25,729,0
"41",0,1581,4,26,4,79,2210,0,0,1,9,8,1,"6",0,27.97,7.37,1,0,16,676,0
"42",0,650,1,23,3,15,92,0,0,1,1,1,0,"18",0,6.13,6.48,1,0,1,529,0
"43",0,2312,8,30,4,69,1485,0,0,1,7,5,1,"33",0,21.52,7.75,1,0,64,900,0
"44",0,500,1,23,0,54,650,0,0,1,6,4,0,"30",0,12.04,6.21,0,0,1,529,0
"45",0,1228,6,28,4,82,1608,0,0,1,6,4,1,"28",0,19.61,7.11,1,1,36,784,0
"46",0,2500,6,28,4,78,2113,0,0,1,16,6,2,"2",0,27.09,7.82,0,0,36,784,0
