"game_id","season","week","start_date","neutral_site","conference_game","attendance","home_id","home_team","home_conference","home_division","home_points","home_post_win_prob","home_pregame_elo","home_postgame_elo","away_id","away_team","away_conference","away_division","away_points","away_post_win_prob","away_pregame_elo","away_postgame_elo","excitement_index"
212350097,2001,1,"2001-08-23T23:00:00.000Z",FALSE,FALSE,38129,97,"Louisville","Conference USA","fbs",45,0.837974618183935,1624,1645,166,"New Mexico State","Sun Belt","fbs",24,0.162025381816065,1334,1313,3.829481043
63770,2001,1,"2001-08-25T04:00:00.000Z",FALSE,TRUE,25716,158,"Nebraska","Big 12","fbs",21,0.837974618183935,1970,1982,2628,"TCU","Conference USA","fbs",7,0.162025381816065,1781,1769,3.829481043
212370275,2001,1,"2001-08-25T18:00:00.000Z",FALSE,TRUE,76740,275,"Wisconsin","Big Ten","fbs",26,0.837974618183935,1699,1698,258,"Virginia","ACC","fbs",17,0.162025381816065,1456,1457,3.829481043
212370252,2001,1,"2001-08-25T20:30:00.000Z",FALSE,TRUE,40008,252,"BYU","Mountain West","fbs",70,0.837974618183935,1525,1613,2655,"Tulane","Conference USA","fbs",35,0.162025381816065,1446,1358,3.829481043
212370201,2001,1,"2001-08-25T23:45:00.000Z",FALSE,FALSE,75423,201,"Oklahoma","Big 12","fbs",10,0.837974618183935,1911,1902,153,"North Carolina","ACC","fbs",0,0.162025381816065,1514,1523,3.829481043
212380183,2001,1,"2001-08-26T18:00:00.000Z",FALSE,FALSE,41517,183,"Syracuse","Big East","fbs",7,0.837974618183935,1629,1624,59,"Georgia Tech","ACC","fbs",13,0.162025381816065,1711,1716,3.829481043
212380038,2001,1,"2001-08-27T00:00:00.000Z",FALSE,FALSE,47762,38,"Colorado","Big 12","fbs",22,0.837974618183935,1572,1569,278,"Fresno State","Western Athletic","fbs",24,0.162025381816065,1573,1576,3.829481043
212420218,2001,2,"2001-08-30T23:00:00.000Z",FALSE,FALSE,26191,218,"Temple","Big East","fbs",45,0.837974618183935,1408,1437,2426,"Navy","FBS Independents","fbs",26,0.162025381816065,1262,1233,3.829481043
212422649,2001,2,"2001-08-30T23:00:00.000Z",FALSE,FALSE,34950,2649,"Toledo","Mid-American","fbs",38,0.837974618183935,1723,1793,135,"Minnesota","Big Ten","fbs",7,0.162025381816065,1610,1540,3.829481043
212422006,2001,2,"2001-08-30T23:00:00.000Z",FALSE,TRUE,13532,2006,"Akron","Mid-American","fbs",31,0.837974618183935,1467,1469,195,"Ohio","Mid-American","fbs",29,0.162025381816065,1562,1560,3.829481043
212422084,2001,2,"2001-08-30T23:30:00.000Z",FALSE,FALSE,22658,2084,"Buffalo","Mid-American","fbs",15,0.837974618183935,1005,989,164,"Rutgers","Big East","fbs",31,0.162025381816065,1224,1240,3.829481043
