Calories,Fat,SatFat,TransFat,Cholesterol,Sodium,Carbs,Fiber,Sugar,Protein,Serving
460,23,8,0,45,1510,45,2,6,19,153
360,13,4,0,60,1050,41,2,8,19,127
290,8,3.5,0,60,980,30,1,2,26,172
700,40,12,0.5,415,1750,51,3,2,34,302
470,30,9,0,415,1340,19,2,2,29,233
420,23,11,0,180,1290,38,2,4,15,145
610,42,18,0,205,1510,38,2,4,22,191
310,14,6,0,180,810,29,1,2,16,129
500,33,12,0,205,1030,30,1,2,23,175
290,15,6,0,0,760,37,2,4,4,82
140,2,0,0,0,220,29,1,1,5,61
270,18,2.5,0,0,440,23,3,0,3,77
270,9,3.5,0,20,80,36,1,26,13,221
60,0,0,0,0,0,15,2,11,1,119
360,13,4,0,60,1050,41,2,8,19,127
870,35,10,0,130,2150,92,5,14,48,304
870,35,10,0,130,2150,92,5,14,48,304
700,40,12,0.5,415,1750,51,3,2,34,302
720,47,16,0.5,395,1450,46,3,1,28,283
650,36,12,0.5,415,1620,46,3,2,35,300
550,30,11,0.5,415,1500,38,2,2,33,259
440,38,15,0,415,870,1,0,0,26,175
500,25,10,0.5,415,1370,34,2,2,34,257
470,30,9,0,415,1340,19,2,2,29,233
480,37,12,0,395,1020,15,2,1,23,212
410,26,8,0,415,1190,15,2,2,30,229
320,20,7,0,415,1100,7,0,2,28,190
320,26,11,0,395,650,1,0,0,21,146
260,16,7,0,415,840,1,0,1,28,165
240,8,3.5,0,20,85,33,1,26,12,216
270,9,3.5,0,20,80,36,1,26,13,221
50,0,0,0,0,0,13,2,9,1,102
60,0,0,0,0,0,15,2,11,1,119
440,17,4,0,70,1400,41,1,6,29,183
500,22,7,0,85,1640,44,2,7,32,247
460,19,4,0,65,1670,45,2,6,28,188
550,25,8,0,85,1810,47,3,7,33,259
380,11,2,0,75,755,44,2,11,28,206
520,22,8,0,105,1115,44,2,11,37,237
250,11,2.5,0,85,1210,11,0,1,27,113
130,3,0.5,0,85,440,1,0,1,25,95
310,14,2.5,0,75,870,16,0,2,29,136
660,45,9,0,110,1420,32,14,4,43,231
500,22,7,0,85,1640,44,2,7,32,247
530,24,8,0,90,1550,44,2,7,35,254
520,24,8,0,90,1550,44,2,7,34,254
450,17,4,0,70,1410,43,2,7,30,233
550,25,8,0,85,1810,47,3,7,33,259
520,23,7,0,80,1910,47,3,7,31,252
550,25,8,0,85,1820,47,3,7,34,259
470,19,4.5,0,65,1670,47,3,7,29,238
